institution,state,long,lat,rating,total,curriculum,researching,campus_engagement,public_engagement,air,buildings,energy,food,planning,diversity,investment,wellbeing,endowment,area,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,climate,locale,low,monday,IPEDS.ID
College of Charleston,SC,-79.939794,32.784225,Silver,55.42,24.26,0,14.81,11.14,4.46,1.45,3.93,1.4,5.75,5.48,0,3.33,80900000,960,9147.49,8.15,NA,NA,NA,NA,31.56,1,5.29,16,3,Mid-size city,Vegan vegetarian and plant-based dining options are consistently offered at every dining facility on campus including Liberty Fresh Food and City Bistro. These venues has celebrated Meatless Mondays consistently. And through its Green Thread initiative the university's Dining Services partners with the Center for Sustainable Development to host events and workshops on plant-based living.,NA,NA
College of Lake County,IL,-88.012291,42.354164,Silver,49.1,38,16,16.5,8.81,7.95,2.67,6.53,4.17,4.5,5.03,3.09,2.55,0,249.8,6730.5,20.23,0.01,3377.91,0.02,82.47,NA,NA,1.87,NA,5,Urban fringe of large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
College of the Atlantic,ME,-68.221517,44.395258,Gold,73.32,24.13,13.67,18.37,13.36,10.78,3.25,4.66,2.52,7.13,8.59,2.56,2.91,60247996,349,376,45.51,35.49,6210.03,0.18,70.07,55.88,26.48,1.62,NA,6,Small town,Both dining centers on the COA campus a full dining hall and a small cafe strive for low impact dining everyday. Service options accommodate vegetarians vegans and meat-eaters including 3-4 vegetarian meals a week and using as many local and organic ingredients as possible. It is standard to offer meatless meals regularly throughout the five-days-a-week three-meals-a-day service. We also actively encourage students to bring their own dining ware to meals served outside of regular service to reduce the use of disposable items.,Yes,160959
Colorado College,CO,-104.822697,38.84886,Gold,71.47,40,18,20.75,19.31,7.06,4.03,4.14,2.42,7.75,8.98,4.9,5.72,803826656,99,2733.25,17.93,17.73,37.049,0.297,48.6,22.5,12,0.01,0,5,Urban fringe of mid-size city,Colorado College implements almost Meatless Mondays at Rastall Dining Hall per student request.,NA,126678
Colorado State University,CO,-105.080732,40.574805,Platinum,88.14,22.98,17.1,20,14.52,5.96,1.58,2.08,5,5,9.19,3.33,2.33,376063068,8618,27195.75,21.16,13.48,13284.61,0.31,58.79,49.54,5.5,5.05,NA,5,Mid-size city,Environmental Eats takes place multiple times a year at the Foundry Dining Center. The aim is to promote more sustainable food choices and to spread knowledge and information about different foods and their impacts. The hope is that this program will create more enthusiasm for sustainable food choices. The Eco Leaders program collaborates with dining staff to promote the campaign by providing samples of dishes as well as Environmental Eats stickers. The program is also promoted through digital signs table cards and integrated into our larger sustainability behavior change campaign Green Warrior.,Yes,NA
Columbia University,NY,-73.961885,40.808286,Gold,65.89,30.84,14.65,15.22,8.72,6.45,1.63,3.28,2.93,7.5,8.92,0.39,2.43,9.90E+09,58,29613.75,4.57,2.74,NA,0.14,21.55,19.73,50,NA,NA,4,Large city,NA,NA,NA
Connecticut College,CT,-72.107321,41.379833,Gold,69.06,37.81,18,20.86,19.23,7.98,4.47,4.79,3.04,8.63,8.89,4.69,3.64,347282130,750,2321.73,13.96,NA,13767.23,0.15,33.79,21.09,2.65,4.56,37.93,5,Urban fringe of mid-size city,Meatless Monday with plant-forward menus and very limited meat options were offered throughout 2019-2020 and will return after the pandemic restrictions on dining are lifted.,NA,128902
Cornell University,NY,-76.483084,42.4472,Platinum,85.12,31.09,17.29,16.11,14.32,7.06,3.15,5.5,2,3.75,8.8,0,2.59,7229217333,2490,27819.25,16.09,20.2,12205.14,0.32,61.98,33.14,0.14,4.17,34.4,6,Mid-size city,"Cornell Dining hosts an annual \Sustainability Dinner\"" featuring locally sourced and sustainably sourced foods as well as the Fall Harvest dinner (described below). Additionally Cornell Dining works with the Food Recovery Network to redistribute leftover food from dinner services to local food shelters in Ithaca. Also Cornell Dining Student Sustainability Coordinators run weekly food waste audits in all-you-care-to-eat dining halls to quantify food waste and educate students about their individual food waste.""",NA,NA
Cossatot Community College of the University of Arkansas,AR,-94.3673,34.043389,Gold,68.66,14.83,4.4,11,11.91,4.46,1.35,3.9,1.44,4.5,6.03,0.33,2.81,1221935032,355,21262.25,38.95,NA,10685.6,0.18,26.83,31.84,NA,NA,NA,4,Urban fringe of mid-size city,NA,NA,NA
Creighton University,NE,-95.947811,41.265361,Bronze,39.69,21.3,12.09,15.71,9.82,5.52,0.62,2.95,4.28,7.25,7.92,1.5,3.89,525582000,139,7823.73,9.68,0.15,8471.72,0.12,11.3,2.68,1.2,6.05,NA,5,Large city,"Examples of events include 1) No-fry Friday 2) \I Commit\"" (a program held in April to show commitment to and provide awareness of Sodexo's sustainability efforts).""",Yes,NA
Dakota Wesleyan University,SD,-98.031188,43.697432,Silver,61.03,0,0,0,0,0,0,0,0,0,0,0,0,1.08E+09,315,3855,5.02,NA,14277.99,0.33,65.4,9.26,25,NA,NA,5,Large town,NA,NA,NA
Denison University,OH,-82.523272,40.071505,Gold,65.38,14.86,14.13,14.1,12.17,1.25,1.89,0,3.03,3,7.28,1,2.45,7.92E+08,850,2753.75,15.54,5.15,14460.87,0.37,33.82,14.78,31.4,5.77,NA,5,Small town,We host several low impact dining events including menu items that are Low Carbon Earth Week and an Annual Farmworker Awareness Week. We also host vegetarian and vegan cooking classes and dishes that are made with all local ingredients as well as a section in our catering menu that is prepared using only local foods called Locavore.,Yes,202523
DePauw University,IN,-86.860363,39.640904,Bronze,43.68,34.46,17.33,19.63,12.97,11,3.64,5.52,3.31,7.88,7.92,1.61,1.71,6.69E+08,50,2444.25,7.32,0,19921.58,NA,NA,13.54,0,5.29,41,4,Small town,Yes we host a number of low impact dining events including an annual Eat Local Challenge a Low Carbon Meal during Earth Week and an annual National Farmworker Awareness Week. Through educational materials on each table and in signage throughout the café we share information about the benefits of prioritizing plant-based proteins for one’s health and the environment and offer plant-forward meals multiple times per week in each café.,NA,150400
Dickinson College,PA,-77.197854,40.202796,Gold,79.98,18.13,10.23,2.75,4,5.16,1.12,2.57,0,3.5,7.71,0,2.14,486200000,301,2700.5,13.66,44.13,15044.11,0.27,50.95,23.11,4.81,0,34.04,5,Small town,Dickinson Dining has restructured menu and line organization to put plant-forward choices first. The vegan and plant-based options are listed first on the menu serving line signage and are physically placed as the first option that people see when moving through the line. We have vegan options at every meal. In 2019 Dickinson sponsored a behavior-centered design challenge where student teams worked to identify simple psychological barriers and solutions to eating more plant-based foods. The serving and signage placement was an easy and simple solution that has worked for us and is still in practice.,NA,212009
Drake University,IA,-93.652163,41.60129,Bronze,32,12.88,9.36,6.5,9.96,6.55,2.4,3,2.06,2.25,4.5,0.02,1,210592820,144,4269.25,12.69,NA,10927.86,0.19,36.04,14.87,NA,3.95,NA,5,Mid-size city,NA,NA,NA
Drexel University,PA,-75.190051,39.955217,Bronze,33.3,23.53,13.85,10.24,8.49,6.08,0,3.2,2.69,4.13,5.86,0,4.12,749093128,74,16049.75,3.48,0.03,26.696,0.203,29.13,10.28,5,2.04,NA,4,Large city,NA,No,NA
Duquesne University,PA,-79.993123,40.43589,Silver,49.34,21.67,7.5,15.15,8.3,2.69,3,1.98,1.88,2.75,7.14,1,3.23,366728,48,7608,11.84,10.71,8010.58,0.12,36.48,48.41,1.8,3.43,26.2,5,Mid-size city,"Duquesne University's Main Dining hall hosts \weigh the waste\"" days every month to track food waste as well as offering primarily local and fair trade dining options during Founders week.""",NA,NA
Earlham College,IN,-84.915037,39.823431,Silver,46.17,26.21,9.29,12.75,9.45,4.75,1.61,3.54,1.75,5.75,6.18,0,3.56,3.95E+08,179,1304.25,7.82,NA,18131.96,0.26,6.12,9.38,NA,12.15,NA,5,Large town,Metz in partnership with the veggie club on-campus host Meatless Mondays.,Yes,150455
East Carolina University,NC,-77.368291,35.607186,Silver,52.95,16.07,10.63,12,10.55,5.19,2.2,3.14,4.72,6,7.47,0,4.11,166731928.7,1580,21787.5,9.6,NA,10445.21,0.16,30.79,4.14,NA,3.81,NA,3,Mid-size city,Aramark has been hosting Meatless Mondays in the two Dining Halls on campus for the past several years.  They also host cooking demonstrations and have several promotional efforts to encourage students to eat plant-forward options.,NA,NA
Eastern Connecticut State University,CT,-72.218753,41.721673,Silver,49.39,7.35,0,15.07,5.28,5.55,2.52,2.94,1.75,4,6.09,0,3.25,1.30E+07,185.01,4565,5.63,0.92,6516.47,0.2,17.23,19.81,18.27,2.63,NA,5,Mid-size city,The dining hall features Meatless Monday's throughout the semester which are promoted through Facebook and in dining hall signage.In addition Chartwells has institute zero waste events for regular annual campus functions (e.g. President's picnic campus holiday party alumni/reunion).,Yes,NA
Eastern Kentucky University,KY,-84.300796,37.740845,Bronze,38.32,0,0,0,0,0,0,0,0,0,0,0,0,60725600,983,12059,1.11,0.82,11008.55,0.11,27.55,NA,NA,5.66,NA,4,Urban fringe of mid-size city,Meals highlighting vegetarian and Vegan options are done 2 to 3 times a semester.,Yes,NA
Elon University,NC,-79.50344,36.104148,Silver,56.54,28.12,14.97,19.63,15.51,6.43,3.45,4.97,2,7.25,7.85,0,2.64,269948667,623.51,7257.5,7.69,0.01,7643.17,0.31,29.65,11.68,15.3,2.39,12,4,Small town,Elon Dining Services hosts multiple farm to table meals throughout the year serving only seasonal ingredients sourced from within a 150 mile radius. Elon Dining Services holds regular outreach events to educate the university community on environmental benefits of local plant forward dining as well as how to create nutritious plant forward meals.,NA,NA
Emerson College,MA,-71.065384,42.352202,Gold,66.74,34.65,13.19,20.5,16.12,6.89,2.01,4.9,5.26,6.88,8.64,2.14,3.02,168900000,16,3910.25,5.86,61.34,946.6,0.21,30.61,14.92,0,1.42,NA,5,Large city,Sodexo hosts a Meatless Monday each semester and meatless meals on Earth Day. Sodexo sponsors environmentally-themed events such as the Vegan Food Fest and Green Gala with free vegan food.,Yes,NA
Emory University,GA,-84.325512,33.790183,Gold,75.69,30.59,0,18.27,12.82,5.68,2.75,3.43,2,2.75,5.6,0,2.66,8626248037,736.4,25680.5,11.82,0,10708.07,0.34,59.9,7.54,28.68,7.47,51.41,3,Large city,Through signage online daily menus and menu emails and interactive information tables guests learn how to make low-carbon diet choices reduce waste and the importance of eating local. The online daily menus allow diners to view vegan vegetarian and local menu items available at each dining location. The residential dining hall has a 100% vegan station. Cox retail food market promotes Meatless Mondays each week. Every April Emory Dining hosts Earth Day celebrations in these two locations to raise awareness about the impacts of our diets on the planet.,NA,NA
Endicott College,MA,-70.840847,42.553296,Silver,63.54,24.9,13,6.5,6.28,0,1.88,3.73,1.25,2.25,3.65,0,4.15,9.00E+07,235,3804.6,12.42,0,8939.82,0.25,40.79,NA,NA,1.72,NA,5,Large town,"Multiple times a year Sodexo and the Office of Sustainability partner to put on \Show the Waste\"" events in the main dining hall. The event involves displaying all uneaten or wasted food on a table in the entrance of the dining hall as students walk in for their meal. There is also signage explaining the problem of food waste and some helpful tips to reduce it.  """,Yes,NA
Eureka College,IL,-89.269624,40.71482,Bronze,36.5,39.77,18,16.68,17,6.12,1.59,5.31,2,6.38,5.38,0,2.58,19350000,70,553,6.8,0,11235.06,NA,NA,35.71,NA,7.58,NA,5,Small town,NA,No,NA
Florida Gulf Coast University,FL,-81.7726,26.463638,Gold,72.9,24.49,15.33,10.21,9.08,5.03,0.56,3.69,1.23,4.75,6.12,0.5,2.5,94547577,1052.84,12103,19.43,5.57,6624.89,0.36,13.54,19.86,NA,2.26,NA,2,Urban fringe of mid-size city,Expansion of Vegan/Vegetarian Station:  Every year we increase the footprint of our plant forward options in our dining hall.  New in 2019 we added in a “pan-o-vation” station which features daily plant based options like Tofu Stir Fry Vegan Meatballs and Vegetable Low Mein.Daily Vegan Dining Options:  In addition we offer a main course everyday on the hotline and one soup as a vegan or vegetarian option.  We have added an all-day vegetable crudité and items like ground flax seed hemp hearts and nutritional yeast to benefit our plant based customers as well.Weigh the Waste: Dining Services partners with Colloquium (a sustainability focused course) to conduct a post-consumer food waste audit called Weigh the Waste twice a semester. During this event students from the class collect and weigh all food waste in front of the students with the goal being to lower the food waste during the second audit. Students break out into groups to do their own outreach and education. Many groups focus their projects on the topics of food footprints composting and low impact dining education.Vegan/Vegetarian Focused Days: We celebrate World Vegan day and World Vegetarian Day. Also many of our events feature a build-your-own-snack that is vegan friendly (trail mix energy bites- recipe card in attachments).Dietitian Visits:  In order to assist vegan and vegetarian students to meet their health goals and better navigate campus to find items that align with their diets we offer free one on one meeting with our campus Registered Dietitian. National Food Day: Each year we host a day based around education of sustainability in food.  Like a resource fair we have several tables with different topics that include the following: local food-students paint pots and plant their own plants on-campus Food Forest Fair Trade education nutrition information prize wheel with many different questions about sustainable food to educate students. World Water Day:  In order to spread awareness on this day we laminated articles in the dining hall for students to read while they ate. This article educates on the water foodprint of food.  We also highlighted this topic across all social media platforms.Move-In Block Party: Outside the dining hall students were able to decorate their own 5 gallon bucket with handle to bring back to their dorm to use as a recycling bucket.Reusable Straws – In order to encourage less single use plastic waste we started giving away reusable straws at our events and have them available for students to purchase at every point of sale on campus.  Locations like Starbucks have cut back on their plastic straws by over 50%.   Bamboo Cutlery - A very popular giveaway at events students are able to get their own set of bamboo ware to use instead of plastic.Serviceware – In the last three years we have been adjusting our serving utensils and serviceware to smaller less wasteful portions.  We also encourage students to “try a sample” before taking a whole portion.  Social Media:  Each semester we highlight Vegan/Vegetarian ‘dining hacks’ on social media and also host a 7 day vegan/vegetarian challenge for students to participate in.  Each day we highlight different plant based options across campus and the resources available within our program. Daily highlights: New in 2019 we highlight all the local menu options where they were sourced and ingredients from our campus garden in the dining hall and online.Labeling: We have increased all labeling and signage for all local ingredients fair trade and vegan making them a highlighted option and easier for students to identify. This past year we added additional chalkboard call-outs bringing more emphasis to our vegan and vegetarian options and those that offer ingredients from our campus garden.Campus Food Pantry:  We have a strong partnership with our campus Food Pantry and hold several events in their honor each semester.  Every week we donate 30 loaves of fresh bread.  At the end of each semester we donate excess packaged food items and bottled beverages.  We host events where we encourage students to buy and donate to the pantry and we offer a meal plan donation program to benefit the food pantry.    CIW Donations:  We try to partner with the CIW in many ways – new this year we started traveling to Immokalee and handing out boxed lunches to the farmworkers as they returned from the fields.  Health and Wellness Events:  Our Health and Wellness Events held annually are Cholesterol Education Day National Fruits and Veggies Matter More Day Health Education Week Healthy Skin Day New Year's Resolution Event (promoting reusable cups and vegan and vegetarian options) National Gluten-Free Day World Health Day Brain Awareness Day healthy build-your-own-stations at events (introducing healthy foods like chia seeds and flax that students may never have heard of or tried).,NA,NA
Florida Institute of Technology,FL,-80.622893,28.065815,Silver,50.32,0,0,0,0,0,0,0,0,0,0,0,0,86645075,177,5360.68,13.08,0.1,9154.13,0.34,31.93,45.16,NA,2.77,NA,2,Mid-size city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Florida State University,FL,-84.291921,30.440756,Gold,65.91,17.73,13.22,4.5,4.33,3.85,1,2.65,1.25,1.5,5.01,0,3,681369000,1529.37,31348,17.26,0.09,7250.97,0.21,49.61,22.33,0.06,4.91,NA,2,Mid-size city,In spring of 2018 Sodexo began a Meatless Monday promotion to encourage the FSU community to choose a meatless meal on Monday. Every Monday individuals receive a discount at specified locations on a vegan or vegetarian meal. During the spring semester 281 students participated in Meatless Monday. Items that were highlighted include vegetarian lasagna homemade vegan veggie burger black bean and plantain burger and a veggie stir-fry. Sodexo hosted a catered vegan meal for the student organization Ethical Food Association to highlight some of Sodexo’s vegan options. Students were also given a survey so Sodexo could gain knowledge on to improve Meatless Mondays and provide more vegetarian and vegan friendly food options. There were a total of 78 survey responses which have influenced the menu cycles for meatless options on campus.,Yes,NA
Franklin W. Olin College of Engineering,MA,-71.263378,42.293527,Bronze,36.28,34.43,17.33,20.69,16.38,5.38,2.24,3.79,3.57,6.13,8,3.04,3.27,376480000,75,466,16.83,0,17664.3,0.45,15.32,13.04,NA,10.4,NA,5,Large town,There is a garden bar once a week for lunch.,Yes,NA
Furman University,SC,-82.440458,34.924676,Gold,77.02,27.64,18,13.99,11.35,6.28,2.5,4.43,3.67,7.25,6.29,0,3.23,6.94E+08,523.91,3350.75,31.55,0.28,20664.21,0.36,33.17,34.98,11.96,4.35,28.49,3,Urban fringe of mid-size city,Yes we host a number of low impact dining events including Meatless Monday program and a Low Carbon Day.,NA,218070
George Mason University,VA,-77.307428,38.829976,Gold,65.15,26.48,17.67,13.1,15.67,7.26,3.14,4,2.54,5,7.52,1.24,3.17,1.13E+08,940.71,27446.6,8.42,NA,5201.99,0.24,10.9,69.07,4.25,2.24,47.17,4,Urban fringe of large city,Farm-to-Table Dinners – Mason chefs work to source food locally when it is available. Dining hosts farm to table dinners in the resident dining halls featuring locally-sourced foods to celebrate the abundance of the region support local agriculture and educate diners about local and seasonal availability.,NA,NA
George Washington University,DC,-77.048363,38.89923,Gold,68.2,25.67,17.17,14.54,9.53,4.29,1.88,2.88,3.38,6.13,7.61,0,3.29,1778559000,193,21334.25,16.84,23,11232.71,0.17,24.06,50.28,0,2.51,26.17,4,Large city,SAGE Dining provides vegetarian/vegan meals as well as publicizing some locally-sourced dining items. Vegan and vegetarian options are also available through GW's retail dining program through a variety of providers including the primarily vegetarian low-impact restaurant Beefsteak. Additionally many events on campus implement low-impact dining practices as part of the meals provided during the events. For example: the annual Diversity Summit served vegan/vegetarian food from a local sustainability-focused caterer. In addition to giving the caterer an opportunity during lunch to speak to the audience regarding the importance of sustainable food there was also signage that displayed the connection between animal products and climate change and reusable silverware was given out as the Summit giveaway. Additionally a flagship Student Experience event Midnight Breakfast served primarily low-impact plant-forward options with minimal meat options. Lastly faculty and staff have been moving towards increasingly low-impact meal including at the weekly Sustainable Faculty Lunch hosted by Sustainable GW which serves a majority of vegan and vegetarian meals.,NA,NA
Georgia Institute of Technology Main Campus,GA,-84.394832,33.77242,Silver,58.19,24.34,13.08,14.05,16.11,7.91,3.45,5.55,4.29,7.13,8.94,0.69,3.72,2.17E+09,411,18731.25,6.74,NA,20716.02,0.66,29.75,20.45,2.21,NA,NA,3,Large city,NA,NA,NA
Gonzaga University,WA,-117.400625,47.666531,Gold,68.43,27.43,14.36,11.93,17.36,8.14,0,5.65,1.8,5.63,7.46,3,2.99,294720414,192.74,6311.25,11.15,24.69,18439.11,0.24,29.32,13.52,20,1.6,36.33,5,Mid-size city,Earth Week 2019 held Mostly Meatless Monday where 6 out of the 7 dining platforms were 100% Vegan. Celebrate National Vegan Day with a Vegan menu in the main dining hall.  Feature many events that promote locally sourced food including farmers markets “chop shop” in which students helped to prep seasonal ingredients for storage to extend the life of local produce harvest dinners and greenhouse dinners.,NA,NA
Goshen College,IN,-85.827795,41.563582,Silver,58.54,34.7,16.48,17.49,15.3,4.43,3.31,4.01,3.03,7.25,8.21,1,5.24,83322531,1354,932.03,11.99,29.88,1043.39,0.43,5.51,25.49,NA,1.7,NA,5,Large town,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,150668
Grand Valley State University,MI,-85.889826,42.963001,Gold,74.94,28.71,14.07,12.16,9.71,7.33,2.31,3.65,3.17,5.75,6.99,0,1.6,1.33E+08,1391,18480.25,11.33,NA,4646.52,0.12,53.56,16.53,4.05,2.73,26.09,5,Urban fringe of mid-size city,Campus Dining offers Meatless Mondays meal options at all dining locations as well as a complete protein vegan meal option.,NA,NA
Green Mountain College,VT,-73.241862,43.517785,Gold,81.82,40,18,19.09,11.4,11,0.49,7.03,2.62,7.5,6.48,5.99,3.52,3018388,210,589.4,56.49,75.62,9671,0.31,55.02,60.98,11.75,0,NA,6,Small town,In Spring of 2017 a student research project focused on low impact dining. Surveys of low impact dining initiatives were conducted among the student body. Low impact meal menus were developed in a collaborative effort between the student researcher and dining staff.. The dining hall initiated a marketing campaign for specific days starting during the spring 2017 semester to launch new impact meal days and added signage for low-impact food items throughout the dining hall. The menu offerings are not meatless but instead focus on reducing the overall carbon-footprint of food offerings during the low -mpact meal events.,Yes,230898
Hampshire College,MA,-72.531469,42.325852,Gold,66.7,23.2,16,16,9.5,8.07,1.45,3.31,3.75,6.25,6.79,5.71,3.51,53887558,820,1504.55,13.35,0.02,5075.85,0.28,33.31,25.19,33,2.22,NA,5,Large town,To help promote plant-forward dining we have Meatless Mondays each week at the Dining Commons.,Yes,166018
Harvey Mudd College,CA,-117.709837,34.106515,Silver,49.53,16.85,14,11.75,10.17,5.88,2.76,1.48,1.63,1.5,7.77,2,1,320383838,44.5,1122.85,3.39,0,29799.67,0.19,35.97,27.18,NA,3.47,NA,3,Small town,NA,No,115409
Haverford College,PA,-75.305207,40.007452,Silver,54.47,13.81,11.94,13.49,7,5.18,3.54,4.52,3.75,6.5,7.31,2.73,2.21,5.08E+08,216,1964.25,5.53,35,16648.34,0.48,22.2,12.5,24,7.03,17,4,Urban fringe of large city,meatless Monday breakfast  Vegan menu items served,NA,212911
Helena College University of Montana,MT,-112.016035,46.595384,Silver,60.89,21.46,15.01,16.23,15.02,5.49,4.89,4.39,3.61,6.75,7.01,0,3.08,216500000,33016.35,9696.25,7.82,NA,20664.2,0.16,21.67,18.7,13.58,NA,NA,6,Mid-size city,NA,NA,NA
Hobart William Smith Colleges,NY,-76.985516,42.858131,Silver,61.36,19.42,16.51,16.02,13.68,5.54,0,3.26,4.97,6.25,8.78,3.34,3.35,2.04E+09,443,3823,10.55,NA,11773.32,0.34,48.65,15.35,26,NA,NA,5,Urban fringe of mid-size city,NA,NA,NA
Hope College,MI,-86.102089,42.787298,Silver,57.65,19.25,17,14.31,9.64,5.17,3.13,3.62,2.33,3.63,7.44,0,4.64,2.31E+08,150,3367.5,6.92,0.12,20157.46,0.57,59.49,30.68,1.4,5.45,14.8,5,Small town,Dining services offers a wide variety of meatless options for our vegetarian and vegan consumers.  These options are available 7 days per week and we now offer meatless options at our main venue every Monday.  Hope Dining Services also participates daily in the national Protein Flip/Menu's of Change initiative in our dining halls.,NA,170301
Houghton College,NY,-78.155426,42.426137,Bronze,28.23,6.42,8.86,5.6,3.06,4.75,0,3.45,1.1,1.88,4.14,0,2.75,5.00E+07,1300,1013.5,3.27,11.76,12165.85,NA,NA,16.33,NA,4.14,NA,6,Rural,We do a “fresh and flavorful” promotion which focuses on healthy eating with plant-based products.  In addition for Earth Week we do promotions that focus on plant-based products.,NA,191676
Humboldt State University,CA,-124.078293,40.877481,Gold,72.07,36.19,13.69,17,13.63,6.57,2.25,2.55,2,7.63,7.06,3.9,4.18,32556356,1498.8,6903,17.31,0.07,5983,0.17,64.6,45.95,0,1.32,0,4,Small town,"The primary dining facility on campus offers a \Less Meat Monday\"" where a majority of the items offered are either vegan or vegetarian.  There is usually also one fish (locally sourced whenever available) or chicken dish available - Beef and Pork are not offered on Mondays.""",NA,NA
Illinois Institute of Technology,IL,-87.627321,41.8313,Bronze,29.52,11.18,9.04,5,5.33,0,0.58,2.4,1.25,3.5,2,0,3.62,235.5,120,5373.25,3.61,0,15648.93,NA,NA,11.94,NA,7.58,NA,5,Large city,NA,No,NA
Illinois State University,IL,-88.990058,40.509403,Bronze,44.86,20.1,12.1,9.76,9.57,3.91,0,3.09,1.75,2.25,5.52,1,2.73,153029384,1100,16906.95,3.41,0.01,9406.87,0.36,49.55,51.38,NA,5.07,NA,5,Mid-size city,"Our Event Management Dining and Hospitality (EMDH) department has a \Meatless Monday\"" menu for lunch and dinner every Monday at the Fresh Bites venue inside of Watterson Dining Commons. """,Yes,NA
Indiana State University,IN,-87.407846,39.469073,Silver,48.76,15.62,10.11,9.27,14.22,4.72,1.2,2.28,2.64,5.75,7.81,0.33,4.04,62299000,512,7166.49,1.32,0,0,0,81.28,7.49,18.9,7.94,NA,6,Mid-size city,The Earth Day picnic includes local and vegan stations elite events with vegan options plant forward vegetarian and vegan stations.,Yes,NA
Indiana University Bloomington,IN,-86.526559,39.16609,Gold,67.61,26.99,17.17,15.71,17.16,3.68,2.61,4.31,3.37,6.75,8.34,0.26,3.26,2397369,2369.06,38999.25,5.11,1.14,15724.94,0.21,31.54,45.2,5.89,8.05,33.96,4,Mid-size city,Collins dormitory hosts meatless Mondays and IU chefs have received training from the Humane Society's Forward Food initiative.,NA,NA
Indiana University South Bend,IN,-86.221991,41.665324,Bronze,37.54,21.86,10.33,6.01,8.04,0,0.5,2.88,1.3,3.5,4.83,0.05,2.77,2693104000,120,3550.75,15.42,NA,4604.66,NA,NA,8.86,0.94,7.58,NA,4,Mid-size city,At IU South Bend Sodexo offers China for an extra fee and have catered Zero Waste meals on campus for special events (i.e. Earth Day Service Day breakfast and lunch 2018).,Yes,NA
Iowa State University,IA,-93.648504,42.026212,Gold,74.09,37.84,15,20.25,14.17,3.16,3.4,2.45,2.26,6.25,9.04,2.4,4.32,1126626200,1632,31719.25,20.77,1.94,13307.08,0.16,57.77,36.06,4.94,13.77,NA,5,Mid-size city,The Iowa County Fare: A Celebration of Local Foods was held October 22-25 2018.,Yes,NA
Ithaca College,NY,-76.494136,42.422154,Gold,67.33,29.54,14.22,16.48,10.84,8.22,4.38,5.59,2,5.5,8.01,1.92,3.48,316025347,670,6997.53,16.68,38.97,20397.17,0.2,37.61,19.35,NA,1.48,NA,6,Large town,"Dining Services hosts multiple sustainability-themed events each academic year. In 2018 we hosted an event called \Reimagine the Harvest Table\"" which took classic holiday dishes and \""reimagined\"" them as vegan or vegetarian alternatives. For example we had a carving station for cauliflower steaks vegan apple pie and vegetarian pot pies.""",Yes,NA
James Madison University,VA,-78.870484,38.436311,Gold,65.92,29.82,15.55,18.17,16.62,4.4,2.8,1.89,2.3,6.25,7.52,0,2.77,8.00E+07,791,19406.75,3.67,1.85,11332.93,0.17,40.47,13.87,5.7,4.59,NA,4,Mid-size city,JMU Dining is committed to reducing its carbon footprint through the the promotion of low impact dining events. The production of meats and animal by-products are responsible for higher carbon greater water usage and more greenhouse gas emissions than fruits and vegetables. Dining Services emphasizes change in the dining halls and retail locations by increasing vegetarian/vegan options and promoting a healthy lifestyle. In the past we had done so through Meatless Monday however in 2017 we transitioned to promoting low-impact options every day - not only on Mondays. Additionally we would have two events a month dedicated to promotion and education of  the carbon footprint benefits of plants over meat.,Yes,NA
Keene State College,NH,-72.279276,42.926452,Gold,78.07,0,0,0,0,0,0,0,0,0,0,0,0,13610556,188,3425.25,20.95,40.23,8417.95,0.18,51.34,84.48,8.58,1.97,22.67,5,Large town,Chartwells/Keene State Dining find it imperative to continue to not only educating ourselves on sustainable practices but also bring these resources to students here at Keene. VEGAN VALLEY + WELL-BEING. Once a semester dining services features a locally sourced 3 course meal for students. Educating students on how we sustainability source fish to ensuring we utilize rGHB milk. It is a great way to delight students with a special intimate meal while educating them on how we are continually monitoring where our food is sourced from.,NA,NA
Kent State University,OH,-80.830377,41.888296,Bronze,36.37,16.64,9.42,9.42,6.71,0.17,2.2,2.37,0.95,4.5,6.63,0,2.25,141400000,1381.1,20590.01,2.5,NA,NA,NA,NA,12.21,NA,5.29,NA,5,Large town,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Kenyon College,OH,-82.397977,40.374408,Silver,46.2,15.21,5.68,12.42,7.08,5.41,2.05,4.28,2.13,3.75,6.17,0,3.22,416231963,1000,2181.75,4.18,38.92,11720.61,0.4,28.13,4.5,0,7.86,15,5,Rural,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,203535
Knox College,IL,-90.373165,40.943064,Silver,46.06,20.85,5.78,13.45,7.29,1.56,1.56,3.75,2.94,4.13,6.64,2,2.03,170200000,787,1554,6.88,21.98,24452.96,0.29,30.86,5.45,1.25,5.29,28.82,5,Large town,Once per term the Hard Knox Café hosts a Meatless Monday.,NA,146427
