"institution"	"location"	"stars_version"	"rating"	"valid_through"	"URL"	"latest_report"
"University of California, Merced"	"United States,
              CA"	2.1	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-merced-ca/report/2019-03-01/"
"University of California, Riverside"	"United States,
              CA"	2.2	"Gold"	"May 9, 2024"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-riverside-ca/report/2021-03-05/"
"University of California, San Diego"	"United States,
              CA"	2.2	"Gold"	"April 18, 2024"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-san-diego-ca/report/2021-03-05/"
"University of California, Santa Barbara"	"United States,
              CA"	2.2	"Gold"	"April 20, 2024"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-santa-barbara-ca/report/2021-03-04/"
"University of California, Santa Cruz"	"United States,
              CA"	2.1	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/"	"https://reports.aashe.org/institutions/university-of-california-santa-cruz-ca/report/2019-03-01/"
"University of Cincinnati"	"United States,
              OH"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/"	"https://reports.aashe.org/institutions/university-of-cincinnati-oh/report/2020-03-06/"
"University of Colorado Boulder"	"United States,
              CO"	2.1	"Gold"	"Sept. 18, 2021"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/"	"https://reports.aashe.org/institutions/university-of-colorado-at-boulder-co/report/2018-03-23/"
"University of Colorado Colorado Springs"	"United States,
              CO"	2.2	"Gold"	"May 12, 2024"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/"	"https://reports.aashe.org/institutions/university-of-colorado-at-colorado-springs-co/report/2021-02-15/"
"University of Dayton"	"United States,
              OH"	2.1	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/"	"https://reports.aashe.org/institutions/university-of-dayton-oh/report/2019-03-01/"
"University of Georgia"	"United States,
              GA"	2.2	"Gold"	"Oct. 3, 2024"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/"	"https://reports.aashe.org/institutions/university-of-georgia-ga/report/2021-06-22/"
"University of Guelph"	"Canada,
              ON"	2.2	"Gold"	"Nov. 17, 2023"	"https://reports.aashe.org/institutions/university-of-guelph-on/report/"	"https://reports.aashe.orgNA"
"University of Houston"	"United States,
              TX"	2.1	"Gold"	"Jan. 3, 2022"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/"	"https://reports.aashe.org/institutions/university-of-houston-university-park-tx/report/2019-01-04/"
"University of Illinois, Urbana-Champaign"	"United States,
              IL"	2.1	"Gold"	"Feb. 26, 2022"	"https://reports.aashe.org/institutions/university-of-illinois-urbana-champaign-il/report/"	"https://reports.aashe.org/institutions/university-of-illinois-urbana-champaign-il/report/2019-02-27/"
"University of Louisville"	"United States,
              KY"	2.1	"Gold"	"Feb. 26, 2022"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/"	"https://reports.aashe.org/institutions/university-of-louisville-ky/report/2019-02-27/"
"University of Manitoba"	"Canada,
              MB"	2.1	"Gold"	"Aug. 15, 2021"	"https://reports.aashe.org/institutions/university-of-manitoba-mb/report/"	"https://reports.aashe.org/institutions/university-of-manitoba-mb/report/2018-08-16/"
"University of Maryland, College Park"	"United States,
              MD"	2.1	"Gold"	"Feb. 27, 2022"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/"	"https://reports.aashe.org/institutions/university-of-maryland-college-park-md/report/2019-02-28/"
"University of Massachusetts Amherst"	"United States,
              MA"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-amherst-ma/report/2020-03-06/"
"University of Massachusetts Lowell"	"United States,
              MA"	2.1	"Gold"	"Feb. 14, 2022"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/"	"https://reports.aashe.org/institutions/university-of-massachusetts-lowell-ma/report/2019-02-15/"
"University of Miami"	"United States,
              FL"	2.1	"Gold"	"March 12, 2022"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/"	"https://reports.aashe.org/institutions/university-of-miami-fl/report/2019-03-13/"
"University of Michigan"	"United States,
              MI"	2.1	"Gold"	"Dec. 21, 2021"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/"	"https://reports.aashe.org/institutions/university-of-michigan-mi/report/2018-06-25/"
"University of Minnesota, Duluth"	"United States,
              MN"	2.1	"Gold"	"Nov. 3, 2022"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/"	"https://reports.aashe.org/institutions/university-of-minnesota-duluth-mn/report/2019-11-04/"
"University of Minnesota, Morris"	"United States,
              MN"	2.1	"Gold"	"Sept. 25, 2021"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/"	"https://reports.aashe.org/institutions/university-of-minnesota-morris-mn/report/2018-03-30/"
"University of Minnesota, Twin Cities"	"United States,
              MN"	2	"Gold
                
                    *"	"Dec. 14, 2018"	"https://reports.aashe.org/institutions/university-of-minnesota-mn/report/"	"https://reports.aashe.org/institutions/university-of-minnesota-mn/report/2015-12-15/"
"University of Missouri"	"United States,
              MO"	2.1	"Gold"	"Aug. 14, 2021"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/"	"https://reports.aashe.org/institutions/university-of-missouri-mo/report/2018-02-16/"
"University of North Carolina at Chapel Hill"	"United States,
              NC"	2.2	"Gold"	"Feb. 29, 2024"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/"	"https://reports.aashe.org/institutions/university-of-north-carolina-chapel-hill-nc/report/2020-12-23/"
"University of Northern Iowa"	"United States,
              IA"	1.1	"Gold
                
                    *"	"Feb. 29, 2016"	"https://reports.aashe.org/institutions/university-of-northern-iowa-ia/report/"	"https://reports.aashe.org/institutions/university-of-northern-iowa-ia/report/2013-03-01/"
"University of Ontario Institute of Technology"	"Canada,
              ON"	2.1	"Gold"	"June 18, 2022"	"https://reports.aashe.org/institutions/university-of-ontario-institute-of-technology-on/report/"	"https://reports.aashe.org/institutions/university-of-ontario-institute-of-technology-on/report/2019-06-19/"
"University of Oregon"	"United States,
              OR"	2.2	"Gold"	"March 6, 2023"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/"	"https://reports.aashe.org/institutions/university-of-oregon-or/report/2020-03-06/"
"University of Pennsylvania"	"United States,
              PA"	2.2	"Gold"	"Oct. 28, 2024"	"https://reports.aashe.org/institutions/university-of-pennsylvania-pa/report/"	"https://reports.aashe.org/institutions/university-of-pennsylvania-pa/report/2021-08-09/"
"University of Pittsburgh"	"United States,
              PA"	2.2	"Gold"	"April 11, 2024"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/"	"https://reports.aashe.org/institutions/university-of-pittsburgh-pa/report/2021-02-28/"
"University of Puget Sound"	"United States,
              WA"	1.1	"Gold
                
                    *"	"July 25, 2015"	"https://reports.aashe.org/institutions/university-of-puget-sound-wa/report/"	"https://reports.aashe.orgNA"
"University of Richmond"	"United States,
              VA"	2.1	"Gold"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/"	"https://reports.aashe.org/institutions/university-of-richmond-va/report/2019-03-01/"
"University of San Diego"	"United States,
              CA"	2.2	"Gold"	"July 11, 2024"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/"	"https://reports.aashe.org/institutions/university-of-san-diego-ca/report/2021-03-24/"
"University of South Florida (Tampa)"	"United States,
              FL"	2.1	"Gold"	"Aug. 17, 2021"	"https://reports.aashe.org/institutions/university-of-south-florida-tampa-fl/report/"	"https://reports.aashe.org/institutions/university-of-south-florida-tampa-fl/report/2018-02-19/"
"University of St. Thomas"	"United States,
              MN"	2.2	"Gold"	"April 22, 2024"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/"	"https://reports.aashe.org/institutions/university-of-st-thomas-mn/report/2021-03-05/"
"University of Texas Rio Grande Valley"	"United States,
              TX"	2.1	"Gold
                
                    *"	"March 18, 2021"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-rio-grande-valley-tx/report/2017-09-20/"
"University of Texas at Austin"	"United States,
              TX"	2.2	"Gold"	"March 2, 2023"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/"	"https://reports.aashe.org/institutions/university-of-texas-at-austin-tx/report/2020-03-02/"
"University of Utah"	"United States,
              UT"	2.2	"Gold"	"Jan. 13, 2024"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/"	"https://reports.aashe.org/institutions/university-of-utah-ut/report/2020-10-21/"
"University of Vermont"	"United States,
              VT"	2.2	"Gold"	"March 2, 2023"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/"	"https://reports.aashe.org/institutions/university-of-vermont-vt/report/2020-03-02/"
"University of Victoria"	"Canada,
              BC"	2.2	"Gold"	"July 20, 2023"	"https://reports.aashe.org/institutions/university-of-victoria-bc/report/"	"https://reports.aashe.org/institutions/university-of-victoria-bc/report/2020-05-05/"
"University of Virginia"	"United States,
              VA"	2.2	"Gold"	"April 29, 2024"	"https://reports.aashe.org/institutions/university-of-virginia-va/report/"	"https://reports.aashe.org/institutions/university-of-virginia-va/report/2021-03-04/"
"University of Washington, Seattle"	"United States,
              WA"	2.1	"Gold"	"Oct. 11, 2021"	"https://reports.aashe.org/institutions/university-of-washington-seattle-wa/report/"	"https://reports.aashe.org/institutions/university-of-washington-seattle-wa/report/2018-10-12/"
"University of Wisconsin-Milwaukee"	"United States,
              WI"	2.1	"Gold"	"Nov. 26, 2022"	"https://reports.aashe.org/institutions/university-of-wisconsin-milwaukee-wi/report/"	"https://reports.aashe.org/institutions/university-of-wisconsin-milwaukee-wi/report/2019-11-27/"
"University of Wisconsin-Oshkosh"	"United States,
              WI"	2.1	"Gold
                
                    *"	"July 27, 2021"	"https://reports.aashe.org/institutions/university-of-wisconsin-oshkosh-wi/report/"	"https://reports.aashe.org/institutions/university-of-wisconsin-oshkosh-wi/report/2018-01-29/"
"University of Wisconsin-Stevens Point"	"United States,
              WI"	2.1	"Gold"	"Nov. 9, 2021"	"https://reports.aashe.org/institutions/university-of-wisconsin-stevens-point-wi/report/"	"https://reports.aashe.org/institutions/university-of-wisconsin-stevens-point-wi/report/2018-05-14/"
"Vassar College"	"United States,
              NY"	2.2	"Gold"	"March 28, 2024"	"https://reports.aashe.org/institutions/vassar-college-ny/report/"	"https://reports.aashe.org/institutions/vassar-college-ny/report/2021-03-04/"
"Virginia Tech"	"United States,
              VA"	2.2	"Gold"	"March 18, 2024"	"https://reports.aashe.org/institutions/virginia-tech-va/report/"	"https://reports.aashe.org/institutions/virginia-tech-va/report/2021-02-18/"
"Wake Forest University"	"United States,
              NC"	2.1	"Gold
                
                    *"	"July 26, 2021"	"https://reports.aashe.org/institutions/wake-forest-university-nc/report/"	"https://reports.aashe.org/institutions/wake-forest-university-nc/report/2018-07-27/"
"Warren Wilson College"	"United States,
              NC"	2.2	"Gold"	"March 4, 2023"	"https://reports.aashe.org/institutions/warren-wilson-college-nc/report/"	"https://reports.aashe.org/institutions/warren-wilson-college-nc/report/2020-03-04/"
"Wartburg College"	"United States,
              IA"	2	"Gold
                
                    *"	"Jan. 28, 2018"	"https://reports.aashe.org/institutions/wartburg-college-ia/report/"	"https://reports.aashe.org/institutions/wartburg-college-ia/report/2015-01-29/"
"Washington University in St. Louis"	"United States,
              MO"	2.1	"Gold"	"Aug. 28, 2021"	"https://reports.aashe.org/institutions/washington-university-in-st-louis-mo/report/"	"https://reports.aashe.org/institutions/washington-university-in-st-louis-mo/report/2020-03-06/"
"Wellesley College"	"United States,
              MA"	2.1	"Gold"	"Nov. 12, 2021"	"https://reports.aashe.org/institutions/wellesley-college-ma/report/"	"https://reports.aashe.org/institutions/wellesley-college-ma/report/2018-11-13/"
"Wells College"	"United States,
              NY"	2.1	"Gold
                
                    *"	"June 10, 2021"	"https://reports.aashe.org/institutions/wells-college-ny/report/"	"https://reports.aashe.org/institutions/wells-college-ny/report/2017-12-13/"
"Western University"	"Canada,
              ON"	2.1	"Gold
                
                    *"	"July 30, 2021"	"https://reports.aashe.org/institutions/university-of-western-ontario-on/report/"	"https://reports.aashe.org/institutions/university-of-western-ontario-on/report/2018-02-01/"
"Wilfrid Laurier University"	"Canada,
              ON"	2.1	"Gold"	"Jan. 15, 2022"	"https://reports.aashe.org/institutions/wilfrid-laurier-university-on/report/"	"https://reports.aashe.org/institutions/wilfrid-laurier-university-on/report/2019-01-16/"
"Worcester Polytechnic Institute"	"United States,
              MA"	2.1	"Gold"	"Nov. 6, 2023"	"https://reports.aashe.org/institutions/worcester-polytechnic-institute-ma/report/"	"https://reports.aashe.org/institutions/worcester-polytechnic-institute-ma/report/2020-05-22/"
"Yale University"	"United States,
              CT"	2.2	"Gold"	"Nov. 6, 2023"	"https://reports.aashe.org/institutions/yale-university-ct/report/"	"https://reports.aashe.org/institutions/yale-university-ct/report/2020-08-03/"
"American University of Sharjah"	"United Arab Emirates,
              Ash Shariqah"	2.1	"Silver"	"June 21, 2024"	"https://reports.aashe.org/institutions/3388/report/"	"https://reports.aashe.org/institutions/3388/report/2021-05-06/"
"Amherst College"	"United States,
              MA"	2.1	"Silver"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/amherst-college-ma/report/"	"https://reports.aashe.orgNA"
"Anne Arundel Community College"	"United States,
              MD"	1	"Silver
                
                    *"	"Nov. 17, 2014"	"https://reports.aashe.org/institutions/anne-arundel-community-college-md/report/"	"https://reports.aashe.orgNA"
"Antioch College"	"United States,
              OH"	2.1	"Silver"	"Sept. 24, 2021"	"https://reports.aashe.org/institutions/antioch-college-oh/report/"	"https://reports.aashe.orgNA"
"Aquinas College"	"United States,
              MI"	2.1	"Silver"	"March 3, 2022"	"https://reports.aashe.org/institutions/aquinas-college-mi/report/"	"https://reports.aashe.org/institutions/aquinas-college-mi/report/2019-03-04/"
"Auburn University"	"United States,
              AL"	2.1	"Silver"	"Jan. 22, 2022"	"https://reports.aashe.org/institutions/auburn-university-al/report/"	"https://reports.aashe.org/institutions/auburn-university-al/report/2019-01-23/"
"Baldwin Wallace University"	"United States,
              OH"	2.1	"Silver"	"Jan. 10, 2022"	"https://reports.aashe.org/institutions/baldwin-wallace-university-oh/report/"	"https://reports.aashe.orgNA"
"Ball State University"	"United States,
              IN"	2.2	"Silver"	"Sept. 23, 2024"	"https://reports.aashe.org/institutions/ball-state-university-in/report/"	"https://reports.aashe.org/institutions/ball-state-university-in/report/2021-07-21/"
"Barnard College"	"United States,
              NY"	2.2	"Silver"	"March 6, 2023"	"https://reports.aashe.org/institutions/barnard-college-ny/report/"	"https://reports.aashe.orgNA"
"Baylor University"	"United States,
              TX"	2.1	"Silver
                
                    *"	"Feb. 29, 2020"	"https://reports.aashe.org/institutions/baylor-university-tx/report/"	"https://reports.aashe.org/institutions/baylor-university-tx/report/2017-03-01/"
"Bellevue College"	"United States,
              WA"	1.2	"Silver
                
                    *"	"June 30, 2016"	"https://reports.aashe.org/institutions/bellevue-college-wa/report/"	"https://reports.aashe.orgNA"
"Beloit College"	"United States,
              WI"	2.1	"Silver
                
                    *"	"Nov. 14, 2020"	"https://reports.aashe.org/institutions/beloit-college-wi/report/"	"https://reports.aashe.org/institutions/beloit-college-wi/report/2017-05-19/"
"Bentley University"	"United States,
              MA"	2.2	"Silver"	"Dec. 8, 2023"	"https://reports.aashe.org/institutions/bentley-university-ma/report/"	"https://reports.aashe.org/institutions/bentley-university-ma/report/2020-08-06/"
"Black Hills State University"	"United States,
              SD"	2.2	"Silver"	"July 31, 2023"	"https://reports.aashe.org/institutions/black-hills-state-university-sd/report/"	"https://reports.aashe.org/institutions/black-hills-state-university-sd/report/2020-04-21/"
"Boise State University"	"United States,
              ID"	2.2	"Silver"	"Sept. 22, 2024"	"https://reports.aashe.org/institutions/boise-state-university-id/report/"	"https://reports.aashe.orgNA"
"Boston College"	"United States,
              MA"	2.1	"Silver"	"Feb. 5, 2022"	"https://reports.aashe.org/institutions/boston-college-ma/report/"	"https://reports.aashe.org/institutions/boston-college-ma/report/2019-02-06/"
"Boston University"	"United States,
              MA"	2.1	"Silver"	"Aug. 1, 2022"	"https://reports.aashe.org/institutions/boston-university-ma/report/"	"https://reports.aashe.org/institutions/boston-university-ma/report/2019-08-02/"
"Brandeis University"	"United States,
              MA"	1.2	"Silver
                
                    *"	"Feb. 17, 2016"	"https://reports.aashe.org/institutions/brandeis-university-ma/report/"	"https://reports.aashe.org/institutions/brandeis-university-ma/report/2013-02-17/"
"British Columbia Institute of Technology"	"Canada,
              BC"	2.2	"Silver"	"June 28, 2024"	"https://reports.aashe.org/institutions/british-columbia-institute-of-technology-bc/report/"	"https://reports.aashe.orgNA"
"Brock University"	"Canada,
              ON"	2.2	"Silver"	"Jan. 20, 2024"	"https://reports.aashe.org/institutions/brock-university-on/report/"	"https://reports.aashe.orgNA"
"Bryant University"	"United States,
              RI"	2.1	"Silver"	"June 5, 2022"	"https://reports.aashe.org/institutions/bryant-university-ri/report/"	"https://reports.aashe.org/institutions/bryant-university-ri/report/2019-06-06/"
"Bryn Mawr College"	"United States,
              PA"	2.1	"Silver
                
                    *"	"Dec. 25, 2020"	"https://reports.aashe.org/institutions/bryn-mawr-college-pa/report/"	"https://reports.aashe.orgNA"
"California State Polytechnic University, Pomona"	"United States,
              CA"	2.1	"Silver"	"May 15, 2023"	"https://reports.aashe.org/institutions/california-state-polytechnic-university-pomona-ca/report/"	"https://reports.aashe.org/institutions/california-state-polytechnic-university-pomona-ca/report/2020-05-15/"
"California State University, Bakersfield"	"United States,
              CA"	2.1	"Silver"	"Aug. 28, 2021"	"https://reports.aashe.org/institutions/california-state-university-bakersfield-ca/report/"	"https://reports.aashe.orgNA"
"California State University, Dominguez Hills"	"United States,
              CA"	2.2	"Silver"	"Aug. 14, 2023"	"https://reports.aashe.org/institutions/california-state-university-dominguez-hills-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-dominguez-hills-ca/report/2020-06-30/"
"California State University, Fullerton"	"United States,
              CA"	2.1	"Silver"	"Feb. 28, 2022"	"https://reports.aashe.org/institutions/california-state-university-fullerton-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-fullerton-ca/report/2019-03-01/"
"California State University, Long Beach"	"United States,
              CA"	2.2	"Silver"	"March 4, 2024"	"https://reports.aashe.org/institutions/california-state-university-long-beach-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-long-beach-ca/report/2021-01-29/"
"California State University, Los Angeles"	"United States,
              CA"	2.1	"Silver"	"July 16, 2022"	"https://reports.aashe.org/institutions/california-state-university-los-angeles-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-los-angeles-ca/report/2019-07-17/"
"California State University, Monterey Bay"	"United States,
              CA"	2.2	"Silver"	"March 25, 2024"	"https://reports.aashe.org/institutions/california-state-university-monterey-bay-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-monterey-bay-ca/report/2021-02-21/"
"California State University, San Bernardino"	"United States,
              CA"	2.2	"Silver"	"May 11, 2024"	"https://reports.aashe.org/institutions/california-state-university-san-bernardino-ca/report/"	"https://reports.aashe.orgNA"
"California State University, Stanislaus"	"United States,
              CA"	2.2	"Silver"	"July 20, 2023"	"https://reports.aashe.org/institutions/california-state-university-stanislaus-ca/report/"	"https://reports.aashe.org/institutions/california-state-university-stanislaus-ca/report/2020-05-28/"
"Calvin University"	"United States,
              MI"	2.2	"Silver"	"Feb. 25, 2023"	"https://reports.aashe.org/institutions/calvin-college-mi/report/"	"https://reports.aashe.org/institutions/calvin-college-mi/report/2020-02-26/"
"Camosun College"	"Canada,
              BC"	2	"Silver
                
                    *"	"Nov. 24, 2018"	"https://reports.aashe.org/institutions/camosun-college-bc/report/"	"https://reports.aashe.orgNA"
"Carleton College"	"United States,
              MN"	2.2	"Silver"	"May 11, 2024"	"https://reports.aashe.org/institutions/carleton-college-mn/report/"	"https://reports.aashe.org/institutions/carleton-college-mn/report/2021-03-05/"
"Carleton University"	"Canada,
              ON"	2	"Silver
                
                    *"	"Feb. 17, 2020"	"https://reports.aashe.org/institutions/carleton-university-on/report/"	"https://reports.aashe.orgNA"
"Case Western Reserve University"	"United States,
              OH"	2.1	"Silver"	"Aug. 28, 2021"	"https://reports.aashe.org/institutions/case-western-reserve-university-oh/report/"	"https://reports.aashe.orgNA"
"Central Carolina Community College"	"United States,
              NC"	2	"Silver
                
                    *"	"June 23, 2018"	"https://reports.aashe.org/institutions/central-carolina-community-college-nc/report/"	"https://reports.aashe.org/institutions/central-carolina-community-college-nc/report/2015-06-24/"
"Central Community College"	"United States,
              NE"	2.2	"Silver"	"March 3, 2023"	"https://reports.aashe.org/institutions/central-community-college-ne/report/"	"https://reports.aashe.org/institutions/central-community-college-ne/report/2020-03-03/"
"Central New Mexico Community College"	"United States,
              NM"	2.1	"Silver"	"July 25, 2022"	"https://reports.aashe.org/institutions/central-new-mexico-community-college-nm/report/"	"https://reports.aashe.org/institutions/central-new-mexico-community-college-nm/report/2019-07-26/"
"Champlain College"	"United States,
              VT"	2.1	"Silver"	"May 8, 2022"	"https://reports.aashe.org/institutions/champlain-college-vt/report/"	"https://reports.aashe.org/institutions/champlain-college-vt/report/2019-05-09/"
"City University of New York, John Jay College of Criminal Justice"	"United States,
              NY"	2.2	"Silver"	"April 20, 2024"	"https://reports.aashe.org/institutions/city-university-of-new-york-john-jay-college-of-criminal-justice-ny/report/"	"https://reports.aashe.orgNA"
"Claremont McKenna College"	"United States,
              CA"	2.1	"Silver"	"Feb. 13, 2023"	"https://reports.aashe.org/institutions/claremont-mckenna-college-ca/report/"	"https://reports.aashe.orgNA"
"Clemson University"	"United States,
              SC"	2.1	"Silver"	"Nov. 25, 2021"	"https://reports.aashe.org/institutions/clemson-university-sc/report/"	"https://reports.aashe.orgNA"
"Cleveland State University"	"United States,
              OH"	2.2	"Silver"	"Oct. 2, 2023"	"https://reports.aashe.org/institutions/cleveland-state-university-oh/report/"	"https://reports.aashe.org/institutions/cleveland-state-university-oh/report/2020-07-28/"
"Coastal Carolina University"	"United States,
              SC"	2	"Silver
                
                    *"	"Nov. 23, 2018"	"https://reports.aashe.org/institutions/coastal-carolina-university-sc/report/"	"https://reports.aashe.orgNA"
"College of Charleston"	"United States,
              SC"	2.2	"Silver"	"Feb. 17, 2023"	"https://reports.aashe.org/institutions/college-of-charleston-sc/report/"	"https://reports.aashe.orgNA"
"College of Lake County"	"United States,
              IL"	2.2	"Silver"	"March 6, 2023"	"https://reports.aashe.org/institutions/college-of-lake-county-il/report/"	"https://reports.aashe.org/institutions/college-of-lake-county-il/report/2020-03-06/"
"College of Saint Benedict"	"United States,
              MN"	1.1	"Silver
                
                    *"	"April 29, 2016"	"https://reports.aashe.org/institutions/college-of-saint-benedict-mn/report/"	"https://reports.aashe.org/institutions/college-of-saint-benedict-mn/report/2013-04-30/"
"College of William & Mary"	"United States,
              VA"	2.1	"Silver
                
                    *"	"Dec. 20, 2019"	"https://reports.aashe.org/institutions/college-of-william-mary-va/report/"	"https://reports.aashe.orgNA"
"Concordia College - Moorhead"	"United States,
              MN"	2.2	"Silver"	"Feb. 2, 2024"	"https://reports.aashe.org/institutions/concordia-college-moorhead-mn/report/"	"https://reports.aashe.org/institutions/concordia-college-moorhead-mn/report/2020-12-16/"
"DE LA SALLE LIPA"	"Philippines,
              BATANGAS"	2.2	"Silver"	"Sept. 14, 2024"	"https://reports.aashe.org/institutions/de-la-salle-lipa-batangas/report/"	"https://reports.aashe.orgNA"
"Delta College"	"United States,
              MI"	2.1	"Silver
                
                    *"	"Jan. 1, 2021"	"https://reports.aashe.org/institutions/delta-college-mi/report/"	"https://reports.aashe.org/institutions/delta-college-mi/report/2017-07-06/"
"Drew University"	"United States,
              NJ"	1.1	"Silver
                
                    *"	"Nov. 15, 2014"	"https://reports.aashe.org/institutions/drew-university-nj/report/"	"https://reports.aashe.orgNA"
"Duquesne University"	"United States,
              PA"	2.2	"Silver"	"April 11, 2024"	"https://reports.aashe.org/institutions/duquesne-university-pa/report/"	"https://reports.aashe.org/institutions/duquesne-university-pa/report/2021-03-05/"
"Durham College"	"Canada,
              ON"	2.1	"Silver"	"Feb. 6, 2023"	"https://reports.aashe.org/institutions/durham-college-on/report/"	"https://reports.aashe.org/institutions/durham-college-on/report/2020-02-07/"
"Earlham College"	"United States,
              IN"	2.1	"Silver"	"Feb. 25, 2022"	"https://reports.aashe.org/institutions/earlham-college-in/report/"	"https://reports.aashe.org/institutions/earlham-college-in/report/2019-02-26/"
"East Carolina University"	"United States,
              NC"	2.2	"Silver"	"Jan. 15, 2023"	"https://reports.aashe.org/institutions/east-carolina-university-nc/report/"	"https://reports.aashe.org/institutions/east-carolina-university-nc/report/2020-01-16/"
"Eastern Connecticut State University"	"United States,
              CT"	2.1	"Silver"	"Dec. 30, 2021"	"https://reports.aashe.org/institutions/eastern-connecticut-state-university-ct/report/"	"https://reports.aashe.org/institutions/eastern-connecticut-state-university-ct/report/2018-12-31/"
"Eastern Iowa Community College District"	"United States,
              IA"	1	"Silver
                
                    *"	"June 14, 2014"	"https://reports.aashe.org/institutions/eastern-iowa-community-college-district-ia/report/"	"https://reports.aashe.orgNA"
"Eastern Mennonite University"	"United States,
              VA"	2.1	"Silver
                
                    *"	"Jan. 21, 2021"	"https://reports.aashe.org/institutions/eastern-mennonite-university-va/report/"	"https://reports.aashe.org/institutions/eastern-mennonite-university-va/report/2017-07-26/"
"Ecole de Technologie Superieure"	"Canada,
              QC"	2.1	"Silver"	"Nov. 13, 2021"	"https://reports.aashe.org/institutions/ecole-de-technologie-superieure-qc/report/"	"https://reports.aashe.orgNA"
"Edmonds Community College"	"United States,
              WA"	1.2	"Silver
                
                    *"	"Jan. 16, 2016"	"https://reports.aashe.org/institutions/edmonds-community-college-wa/report/"	"https://reports.aashe.orgNA"
"Elon University"	"United States,
              NC"	2.2	"Silver"	"Feb. 18, 2023"	"https://reports.aashe.org/institutions/elon-university-nc/report/"	"https://reports.aashe.org/institutions/elon-university-nc/report/2020-02-19/"
"Endicott College"	"United States,
              MA"	2.1	"Silver"	"Aug. 7, 2022"	"https://reports.aashe.org/institutions/endicott-college-ma/report/"	"https://reports.aashe.org/institutions/endicott-college-ma/report/2019-08-08/"
"Evergreen State College, The"	"United States,
              WA"	2.1	"Silver"	"Aug. 29, 2022"	"https://reports.aashe.org/institutions/evergreen-state-college-wa/report/"	"https://reports.aashe.org/institutions/evergreen-state-college-wa/report/2019-08-30/"
"FIE: Foundation for International Education"	"United Kingdom,
              London"	2.1	"Silver
                
                    *"	"Sept. 30, 2020"	"https://reports.aashe.org/institutions/foundation-for-international-education-lnd/report/"	"https://reports.aashe.orgNA"
"Florida Institute of Technology"	"United States,
              FL"	2.2	"Silver"	"Nov. 6, 2023"	"https://reports.aashe.org/institutions/florida-institute-of-technology-fl/report/"	"https://reports.aashe.org/institutions/florida-institute-of-technology-fl/report/2020-04-24/"
"Florida International University"	"United States,
              FL"	2.1	"Silver
                
                    *"	"Feb. 17, 2021"	"https://reports.aashe.org/institutions/florida-international-university-fl/report/"	"https://reports.aashe.org/institutions/florida-international-university-fl/report/2017-08-22/"
