institution,endowment,area,climate,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,locale,low,monday,budget
Endicott College,9.00E+07,235,5,3804.6,12.42,0,8939.82,0.25,40.79,NA,NA,1.72,NA,Large town,"Multiple times a year Sodexo and the Office of Sustainability partner to put on \Show the Waste\"" events in the main dining hall. The event involves displaying all uneaten or wasted food on a table in the entrance of the dining hall as students walk in for their meal. There is also signage explaining the problem of food waste and some helpful tips to reduce it.  """,Yes,NA
Eureka College,19350000,70,5,553,6.8,0,11235.06,,NA,35.71,NA,7.58,NA,Small town,,No,NA
Florida Gulf Coast University,94547577,1052.84,2,12103,19.43,5.57,6624.89,0.36,13.54,19.86,NA,2.26,NA,Urban fringe of mid-size city,Expansion of Vegan/Vegetarian Station:  Every year we increase the footprint of our plant forward options in our dining hall.  New in 2019 we added in a “pan-o-vation” station which features daily plant based options like Tofu Stir Fry Vegan Meatballs and Vegetable Low Mein.Daily Vegan Dining Options:  In addition we offer a main course everyday on the hotline and one soup as a vegan or vegetarian option.  We have added an all-day vegetable crudité and items like ground flax seed hemp hearts and nutritional yeast to benefit our plant based customers as well.Weigh the Waste: Dining Services partners with Colloquium (a sustainability focused course) to conduct a post-consumer food waste audit called Weigh the Waste twice a semester. During this event students from the class collect and weigh all food waste in front of the students with the goal being to lower the food waste during the second audit. Students break out into groups to do their own outreach and education. Many groups focus their projects on the topics of food footprints composting and low impact dining education.Vegan/Vegetarian Focused Days: We celebrate World Vegan day and World Vegetarian Day. Also many of our events feature a build-your-own-snack that is vegan friendly (trail mix energy bites- recipe card in attachments).Dietitian Visits:  In order to assist vegan and vegetarian students to meet their health goals and better navigate campus to find items that align with their diets we offer free one on one meeting with our campus Registered Dietitian. National Food Day: Each year we host a day based around education of sustainability in food.  Like a resource fair we have several tables with different topics that include the following: local food-students paint pots and plant their own plants on-campus Food Forest Fair Trade education nutrition information prize wheel with many different questions about sustainable food to educate students. World Water Day:  In order to spread awareness on this day we laminated articles in the dining hall for students to read while they ate. This article educates on the water foodprint of food.  We also highlighted this topic across all social media platforms.Move-In Block Party: Outside the dining hall students were able to decorate their own 5 gallon bucket with handle to bring back to their dorm to use as a recycling bucket.Reusable Straws – In order to encourage less single use plastic waste we started giving away reusable straws at our events and have them available for students to purchase at every point of sale on campus.  Locations like Starbucks have cut back on their plastic straws by over 50%.   Bamboo Cutlery - A very popular giveaway at events students are able to get their own set of bamboo ware to use instead of plastic.Serviceware – In the last three years we have been adjusting our serving utensils and serviceware to smaller less wasteful portions.  We also encourage students to “try a sample” before taking a whole portion.  Social Media:  Each semester we highlight Vegan/Vegetarian ‘dining hacks’ on social media and also host a 7 day vegan/vegetarian challenge for students to participate in.  Each day we highlight different plant based options across campus and the resources available within our program. Daily highlights: New in 2019 we highlight all the local menu options where they were sourced and ingredients from our campus garden in the dining hall and online.Labeling: We have increased all labeling and signage for all local ingredients fair trade and vegan making them a highlighted option and easier for students to identify. This past year we added additional chalkboard call-outs bringing more emphasis to our vegan and vegetarian options and those that offer ingredients from our campus garden.Campus Food Pantry:  We have a strong partnership with our campus Food Pantry and hold several events in their honor each semester.  Every week we donate 30 loaves of fresh bread.  At the end of each semester we donate excess packaged food items and bottled beverages.  We host events where we encourage students to buy and donate to the pantry and we offer a meal plan donation program to benefit the food pantry.    CIW Donations:  We try to partner with the CIW in many ways – new this year we started traveling to Immokalee and handing out boxed lunches to the farmworkers as they returned from the fields.  Health and Wellness Events:  Our Health and Wellness Events held annually are Cholesterol Education Day National Fruits and Veggies Matter More Day Health Education Week Healthy Skin Day New Year's Resolution Event (promoting reusable cups and vegan and vegetarian options) National Gluten-Free Day World Health Day Brain Awareness Day healthy build-your-own-stations at events (introducing healthy foods like chia seeds and flax that students may never have heard of or tried).,NA,NA
Florida Institute of Technology,86645075,177,2,5360.68,13.08,0.1,9154.13,0.34,31.93,45.16,NA,2.77,NA,Mid-size city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Florida State University,681369000,1529.37,2,31348,17.26,0.09,7250.97,0.21,49.61,22.33,0.06,4.91,NA,Mid-size city,In spring of 2018 Sodexo began a Meatless Monday promotion to encourage the FSU community to choose a meatless meal on Monday. Every Monday individuals receive a discount at specified locations on a vegan or vegetarian meal. During the spring semester 281 students participated in Meatless Monday. Items that were highlighted include vegetarian lasagna homemade vegan veggie burger black bean and plantain burger and a veggie stir-fry. Sodexo hosted a catered vegan meal for the student organization Ethical Food Association to highlight some of Sodexo’s vegan options. Students were also given a survey so Sodexo could gain knowledge on to improve Meatless Mondays and provide more vegetarian and vegan friendly food options. There were a total of 78 survey responses which have influenced the menu cycles for meatless options on campus. ,Yes,NA
Franklin W. Olin College of Engineering,376480000,75,5,466,16.83,0,17664.3,0.45,15.32,13.04,NA,10.4,NA,Large town,There is a garden bar once a week for lunch.,Yes,NA
Furman University,6.94E+08,523.91,3,3350.75,31.55,0.28,20664.21,0.36,33.17,34.98,11.96,4.35,28.49,Urban fringe of mid-size city,Yes we host a number of low impact dining events including Meatless Monday program and a Low Carbon Day.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
George Mason University,1.13E+08,940.71,4,27446.6,8.42,NA,5201.99,0.24,10.9,69.07,4.25,2.24,47.17,Urban fringe of large city,Farm-to-Table Dinners – Mason chefs work to source food locally when it is available. Dining hosts farm to table dinners in the resident dining halls featuring locally-sourced foods to celebrate the abundance of the region support local agriculture and educate diners about local and seasonal availability. ,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
George Washington University,1778559000,193,4,21334.25,16.84,23,11232.71,0.17,24.06,50.28,0,2.51,26.17,Large city,SAGE Dining provides vegetarian/vegan meals as well as publicizing some locally-sourced dining items. Vegan and vegetarian options are also available through GW's retail dining program through a variety of providers including the primarily vegetarian low-impact restaurant Beefsteak. Additionally many events on campus implement low-impact dining practices as part of the meals provided during the events. For example: the annual Diversity Summit served vegan/vegetarian food from a local sustainability-focused caterer. In addition to giving the caterer an opportunity during lunch to speak to the audience regarding the importance of sustainable food there was also signage that displayed the connection between animal products and climate change and reusable silverware was given out as the Summit giveaway. Additionally a flagship Student Experience event Midnight Breakfast served primarily low-impact plant-forward options with minimal meat options. Lastly faculty and staff have been moving towards increasingly low-impact meal including at the weekly Sustainable Faculty Lunch hosted by Sustainable GW which serves a majority of vegan and vegetarian meals.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Georgia Institute of Technology Main Campus,2.17E+09,411,3,18731.25,6.74,NA,20716.02,0.66,29.75,20.45,2.21,NA,NA,Large city,,NA,NA
Gonzaga University,294720414,192.74,5,6311.25,11.15,24.69,18439.11,0.24,29.32,13.52,20,1.6,36.33,Mid-size city,Earth Week 2019 held Mostly Meatless Monday where 6 out of the 7 dining platforms were 100% Vegan. Celebrate National Vegan Day with a Vegan menu in the main dining hall.  Feature many events that promote locally sourced food including farmers markets “chop shop” in which students helped to prep seasonal ingredients for storage to extend the life of local produce harvest dinners and greenhouse dinners.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Goshen College,83322531,1354,5,932.03,11.99,29.88,1043.39,0.43,5.51,25.49,NA,1.7,NA,Large town,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Grand Valley State University,1.33E+08,1391,5,18480.25,11.33,NA,4646.52,0.12,53.56,16.53,4.05,2.73,26.09,Urban fringe of mid-size city,Campus Dining offers Meatless Mondays meal options at all dining locations as well as a complete protein vegan meal option.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Green Mountain College,3018388,210,6,589.4,56.49,75.62,9671,0.31,55.02,60.98,11.75,0,NA,Small town,In Spring of 2017 a student research project focused on low impact dining. Surveys of low impact dining initiatives were conducted among the student body. Low impact meal menus were developed in a collaborative effort between the student researcher and dining staff.. The dining hall initiated a marketing campaign for specific days starting during the spring 2017 semester to launch new impact meal days and added signage for low-impact food items throughout the dining hall. The menu offerings are not meatless but instead focus on reducing the overall carbon-footprint of food offerings during the low -mpact meal events.  ,Yes,NA
Hampshire College,53887558,820,5,1504.55,13.35,0.02,5075.85,0.28,33.31,25.19,33,2.22,NA,Large town,To help promote plant-forward dining we have Meatless Mondays each week at the Dining Commons.,Yes,NA
Harvey Mudd College,320383838,44.5,3,1122.85,3.39,0,29799.67,0.19,35.97,27.18,NA,3.47,NA,Small town,,No,NA
Haverford College,5.08E+08,216,4,1964.25,5.53,35,16648.34,0.48,22.2,12.5,24,7.03,17,Urban fringe of large city,meatless Monday breakfast  Vegan menu items served,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Helena College University of Montana,216500000,33016.35,6,9696.25,7.82,NA,20664.2,0.16,21.67,18.7,13.58,NA,NA,Mid-size city,,NA,NA
Hobart William Smith Colleges,2.04E+09,443,5,3823,10.55,NA,11773.32,0.34,48.65,15.35,26,NA,NA,Urban fringe of mid-size city,,NA,NA
Hope College,2.31E+08,150,5,3367.5,6.92,0.12,20157.46,0.57,59.49,30.68,1.4,5.45,14.8,Small town,Dining services offers a wide variety of meatless options for our vegetarian and vegan consumers.  These options are available 7 days per week and we now offer meatless options at our main venue every Monday.  Hope Dining Services also participates daily in the national Protein Flip/Menu's of Change initiative in our dining halls.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Houghton College,5.00E+07,1300,6,1013.5,3.27,11.76,12165.85,,NA,16.33,NA,4.14,NA,Rural,We do a “fresh and flavorful” promotion which focuses on healthy eating with plant-based products.  In addition for Earth Week we do promotions that focus on plant-based products.,NA,NA
Humboldt State University,32556356,1498.8,4,6903,17.31,0.07,5983,0.17,64.6,45.95,0,1.32,0,Small town,"The primary dining facility on campus offers a \Less Meat Monday\"" where a majority of the items offered are either vegan or vegetarian.  There is usually also one fish (locally sourced whenever available) or chicken dish available - Beef and Pork are not offered on Mondays.""",NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Illinois Institute of Technology,235.5,120,5,5373.25,3.61,0,15648.93,,NA,11.94,NA,7.58,NA,Large city,,No,NA
Illinois State University,153029384,1100,5,16906.95,3.41,0.01,9406.87,0.36,49.55,51.38,NA,5.07,NA,Mid-size city,"Our Event Management Dining and Hospitality (EMDH) department has a \Meatless Monday\"" menu for lunch and dinner every Monday at the Fresh Bites venue inside of Watterson Dining Commons. """,Yes,NA
Indiana State University,62299000,512,6,7166.49,1.32,0,0,0,81.28,7.49,18.9,7.94,NA,Mid-size city,The Earth Day picnic includes local and vegan stations elite events with vegan options plant forward vegetarian and vegan stations.,Yes,NA
Indiana University Bloomington,2397369,2369.06,4,38999.25,5.11,1.14,15724.94,0.21,31.54,45.2,5.89,8.05,33.96,Mid-size city,Collins dormitory hosts meatless Mondays and IU chefs have received training from the Humane Society's Forward Food initiative.,NA,"
      
      
        









  
    $10 million or more
  





  
  

  

  


      
    "
Indiana University South Bend,2693104000,120,4,3550.75,15.42,NA,4604.66,,NA,8.86,0.94,7.58,NA,Mid-size city,At IU South Bend Sodexo offers China for an extra fee and have catered Zero Waste meals on campus for special events (i.e. Earth Day Service Day breakfast and lunch 2018).,Yes,NA
Iowa State University,1126626200,1632,5,31719.25,20.77,1.94,13307.08,0.16,57.77,36.06,4.94,13.77,NA,Mid-size city,The Iowa County Fare: A Celebration of Local Foods was held October 22-25 2018.  ,Yes,NA
Ithaca College,316025347,670,6,6997.53,16.68,38.97,20397.17,0.2,37.61,19.35,NA,1.48,NA,Large town,"Dining Services hosts multiple sustainability-themed events each academic year. In 2018 we hosted an event called \Reimagine the Harvest Table\"" which took classic holiday dishes and \""reimagined\"" them as vegan or vegetarian alternatives. For example we had a carving station for cauliflower steaks vegan apple pie and vegetarian pot pies.""",Yes,NA
James Madison University,8.00E+07,791,4,19406.75,3.67,1.85,11332.93,0.17,40.47,13.87,5.7,4.59,NA,Mid-size city,JMU Dining is committed to reducing its carbon footprint through the the promotion of low impact dining events. The production of meats and animal by-products are responsible for higher carbon greater water usage and more greenhouse gas emissions than fruits and vegetables. Dining Services emphasizes change in the dining halls and retail locations by increasing vegetarian/vegan options and promoting a healthy lifestyle. In the past we had done so through Meatless Monday however in 2017 we transitioned to promoting low-impact options every day - not only on Mondays. Additionally we would have two events a month dedicated to promotion and education of  the carbon footprint benefits of plants over meat. ,Yes,NA
Keene State College,13610556,188,5,3425.25,20.95,40.23,8417.95,0.18,51.34,84.48,8.58,1.97,22.67,Large town,Chartwells/Keene State Dining find it imperative to continue to not only educating ourselves on sustainable practices but also bring these resources to students here at Keene. VEGAN VALLEY + WELL-BEING. Once a semester dining services features a locally sourced 3 course meal for students. Educating students on how we sustainability source fish to ensuring we utilize rGHB milk. It is a great way to delight students with a special intimate meal while educating them on how we are continually monitoring where our food is sourced from.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Kent State University,141400000,1381.1,5,20590.01,2.5,NA,,,NA,12.21,NA,5.29,NA,Large town,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Kenyon College,416231963,1000,5,2181.75,4.18,38.92,11720.61,0.4,28.13,4.5,0,7.86,15,Rural,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Knox College,170200000,787,5,1554,6.88,21.98,24452.96,0.29,30.86,5.45,1.25,5.29,28.82,Large town,Once per term the Hard Knox Café hosts a Meatless Monday.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Lafayette College,870742000,360,5,3279,7.78,NA,15515.33,0.22,19.72,15.33,25,6.82,49,Large town,Yes we host a number of low impact dining events including an annual Eat Local Challenge Earth Week and an annual National Farmworker Awareness Week. Through educational materials on each table and in signage throughout the café we share information about the benefits of prioritizing plant-based proteins for one’s health and the environment and offer plant-forward meals multiple times per week in each café.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Lane Community College,0,170.06,4,6354.28,5.3,7.91,4420.17,0.08,44.5,NA,NA,0.43,NA,Urban fringe of mid-size city,Meatless Mondays at all food stations.,NA,NA
Lawrence University,339800000,529,6,1876.25,10.1,1.09,12629.24,0.51,37.49,17.02,2.7,7.01,42.75,Mid-size city,Yes: Low carbon diet eat local challenge weigh the waste plant-forward grill etc.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Lebanon Valley College,67380552,370,5,1969.25,4.4,49.31,9604.01,0.09,19.71,4.95,NA,1.03,NA,Small town,Working on adding Stealth Health menu items for Wednesday Wellness days.,Yes,NA
Lehigh University,1369900000,1600,6,7007.25,5.05,12.34,14384.14,0.34,47.7,5.75,20.3,6.02,31.3,Mid-size city,In addition to Meatless Mondays Lehigh University Dining hosts a variety of events throughout the year: World Food Day Zero Waste meals World Vegetarian Day during Earth Week during Recyclemania (now Campus Race to Zero Waste) to name a few.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Lewis University,111860081,410,5,4188.75,0.38,NA,4132.5,0.11,50.21,3.33,63,5.29,NA,Mid-size city,Yes Sodexo hosts Meatless Mondays in which they will change their menu for that day.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Louisiana State University,502900000,1300,2,22257.25,7.79,NA,31281.88,0.39,42.09,43.38,NA,7.51,NA,Mid-size city,LSU Campus Sustainability has kicked off a Zero Waste Event program and LSU Dining is a fully engaged partner. All LSU Departments are encouraged to host Zero Waste events by coordinating with Sustainability and Dining. In April the first Zero Waste Event was held to demonstrate for organizations how to hold zero waste / low impact events.  Only compostable utensils plates and cups were used.  All food was prepared using the Hill Farm LSU garden and all food was composted using the black solider fly composting process. ,Yes,NA
Loyola Marymount University,4.80E+08,142,3,8290.75,11.05,13.29,27.538,1.131,90.36,21.05,0.31,1.21,22.62,Large city,Periodically throughout the semester (typically 3-4 times) we feature a Meatless Monday event. During these events we showcase Meatless Options as well as educational materials that highlight the impact our dining choices have on the environment.  We partner with ASLMU and other groups to help advertise the event and the low impact choices guests have at the dining venues.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Loyola University Chicago,800316000,52.4,5,14984,25.75,23.77,7215.83,0.08,50.43,10.81,4.16,1.58,23.31,Large city,Students developed a 'No Impact Meal' program that is delivered to the Residence Halls. In this program sustainability interns work with the residence life staff to design a menu procure the materials cook the meal and oversee a program on intentional food (sometimes called 'slow food'). The program addresses the resources that went into the various meal elements and the money that actually makes its way to the primary producer (the farmer). ,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Luther College,169500000,969,6,2285.75,40.46,13.71,15596.89,0.31,48.6,47.93,13.9,6.05,NA,Small town,"Meat is limited to only one station on Mondays as a way to encourage decreased meat consumption but does not call our program \Meatless Mondays.\"" """,Yes,NA
Macalester College,725500000,54,6,2216.24,19.19,5.52,9520.47,0.21,66.77,13.25,NA,5.07,NA,Large city,When Bon Appétit started our Low Carbon Diet program in 2007 — making us the first restaurant company to connect food and climate change — it was with specific targets in mind for how much carbon emissions we wanted to lose over five years. And we did it meeting our goals and resulting in reductions of the equivalent of approximately 5 million pounds of carbon dioxide each month.,NA,NA
Massachusetts Institute of Technology,1.48E+10,168,5,18002.75,4.9,6.17,24488.39,0.28,44.48,15.93,19,9.35,NA,Urban fringe of large city,MIT Dining offers a number of low impact dining events including Earth Week and an Annual Farmworker Awareness Week.  ,Yes,NA
Medical University of South Carolina,809937293,446,3,30431.75,2.78,0,4429.94,0.16,20.51,1.27,NA,NA,NA,Mid-size city,,NA,NA
Metropolitan Community College Area,1359125,197.22,5,6225,8.36,NA,4954.03,0.19,8.8,0,7.8,NA,NA,Large city,,NA,NA
Metropolitan State University of Denver,786425449,125,5,9592.75,21.77,NA,9983.16,0.17,20.51,30.58,10.98,NA,NA,Large city,,NA,NA
Miami University Hamilton,534685847,2325,5,17624.75,7.4,4.19,9199.24,0.15,33.4,28.24,11.5,NA,NA,Urban fringe of large city,,NA,NA
Michigan State University,2.90E+09,5199,6,46993.25,12.13,0.37,27179.29,0.57,78.27,18.46,2.17,8.73,NA,Urban fringe of mid-size city,"\Culinary Services works with several student groups and classes to promote sustainable efforts and events. 1. Student chapter of SLOW food does an event in partnership (menu attached). Several events hosted include: Ark of Taste. Promotion of a seed biodiversity project.Documentary screeningsVolunteering at farmsCooking classesSkill workshopsCommunity outreach and educationhttps://msugreenalliance.wordpress.com/orgs/orgslow-food/2.  HNF Dietetics plans events with the Culinary  around healthy and sustainable options. Students from this class are required to participate in volunteer hours at Clean Plates at State or at the Student Organic Farm. 3. \""\""Clean Ingredients\""\"" featured for allergies  menu attached. \""""",Yes,NA
Michigan Technological University,106400000,925,7,7205.49,6.61,11.74,10436.48,0.14,14.24,47.93,0,6.84,NA,Small town,,No,NA
Mills College,196400000,135,3,1373.25,4.09,0.15,17534.82,0.26,58.44,21.21,22.8,1.82,35.37,Large city,Yes we host a number of low impact dining events including an annual Eat Local Challenge Earth Week and an annual National Farmworker Awareness Week. Through educational materials on each table and in signage throughout the café we share information about the benefits of prioritizing plant-based proteins for one’s health and the environment and offer plant-forward meals multiple times per week in each café. We also offer Meatless Mondays at our main dining facility.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Missouri State University,8.10E+07,236,4,11578.25,17.28,0.4,9060.33,0.22,23.85,14.06,0.51,6.99,7.2,Mid-size city,In conjunction with the Residence Hall Association in the fall of 2013 we began Meatless Monday at Missouri State University. We provide entrée options that are free of meat at lunch in Blair-Shannon and in Garst at dinner on Mondays.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Montana State University,163630964,956,6,14137.89,12.94,0.04,11875.22,0.17,24.16,10.91,22.11,2.16,NA,Large town,The dining halls host a Farm to Campus dinner and a Montana Livestock Appreciation dinner each year. These dinners feature local food products from the university and the rest of the state to minimize food miles. Additionally each week we feature Montana Monday's in our retail operations where a featured lunch special highlights local products. During National Nutrition Month our operations also specifically highlight and feature alternative proteins and other healthy low impact foods.,Yes,NA
Muhlenberg College,278838000,184,5,2836.91,19.5,0.29,9192.59,0.29,15.57,15.67,30,5.56,NA,Urban fringe of mid-size city,Yes. Meatless Mondays are featured throughout the academic year.,Yes,NA
New Mexico State University,175600000,425,3,11171.5,4.13,0.3,74934.22,0.18,24.17,6.37,0,4.29,31.65,Large town,Sodexo hosts weekly tabling regarding low impact food choices by highlighting menu options from its Mindful Mondays menu options. Weekly tablings also highlight the Wild Mushroom station which focuses solely on low impact dining in the form of vegetarian and vegan food options.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
New York University,4.20E+09,40,4,58018.25,19.14,NA,9028.34,0.13,27.55,16.12,NA,2.32,NA,Large city,Every week NYU Eats participates in SuperFood Tuesdays which feature hearty and nutritious plant-forward dishes at the center of our menu options. This event is to highlight that nutritious meals can be made with plant-based ingredients. In honor of Stop Food Waste Day for the month of April NYU Eats draws attention to the global food waste epidemic and outlines impactful solutions through community engagement and activism. As a part of Stop Food Waste Day NYU Eats promotes the Clean Plate Challenge which features simple tips to reduce the amount of food wasted at each meal such as tasting food before taking a larger portion.,Yes,NA
North Orange County Community College District,0,37,4,3297.75,7.37,0.14,2064.46,,NA,16.4,NA,NA,NA,Large town,,NA,NA
Northern Arizona University,192600000,829,5,20930.5,8.44,5.77,7989.33,0.1,39.24,59.21,2.77,2.1,37.61,Mid-size city,We host farm to table events in both the fall and spring semesters promoting local organic and sustainably sourced foods.  We have promoted Meatless Mondays for several years and we’ve taken a plant-forward approach to menu planning in both of our resident dining halls on campus.  We also placed a strategic focus on plant-based foods in our renovation plans at the DuB Dining District (dining hall) positioning the “Plant Forward” station front and center as you enter the dining hall.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Northern Michigan University,15132477,356,6,6349,12.19,NA,8562.98,,NA,24.19,NA,5.29,NA,Large town,Northern Lights Dining our primary dining hall has partnered with students in demonstrations that aim to reduce food waste and promote composting through signage and assisting in sorting waste.  We’ve hosted Morningstar Farms and other vendors to conduct on-campus sample events of plant-based proteins.More than 30 NMU culinary professionals took part in the Forward Food Experience sponsored by the Humane Society of the United States which comprised of 16 hours of intensive training on plant-based diets. And as part of a campus-wide Sustainability Week NMU Dining has hosted Meatless Monday events.  Temaki World Asian Kitchen partners with Northern Vegans a community group to feature a vegan-only menu quarterly.Throughout the year NMU’s registered dietitian hosts a series of presentations on plant-based diets the impacts of bottled water sourcing food locally as well as others.,NA,NA
Northland College,33764586,315.99,7,631,20.1,0.89,5889.17,0.22,29.08,68.09,18.23,4.29,26.25,Small town,The cafeteria host multiple meatless days throughout the year--typically they are hosted on Wednesday and called Why Not Wednesday.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Northwestern University,1.09E+10,282,5,22794,4.29,11.83,92.75,0.28,41.1,4.75,3.96,8.2,38.46,Urban fringe of large city,Northwestern Dining has promoted plant forward and plant based meals through the 21-Day Plant Forward Challenge and has executed Plant Forward station take overs within the Northwestern dining commons.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Nova Southeastern University,170700000,319,1,11588,15.48,NA,,0.24,9.29,NA,NA,5.29,NA,Urban fringe of mid-size city,Various Mondays throughout the semester will be chosen and we will host a meatless Monday option for students at Food Bar or Training bar location in the University Center Food Court.,NA,NA
Ohio University Chillicothe Campus,572359473,2137.4,5,19027.25,1.91,NA,10978.25,0.24,57.99,5.99,0.24,NA,NA,Small town,,NA,NA
Oklahoma State University,871603381.2,680,3,21455.5,8.2,58.88,17779.86,0.16,17.19,38.85,0,3.9,19.6,Large town,1) Free cooking classes for students and staff include vegetarian meals such as Three Bean Chili and are followed by sharing the meal and recipe. 2) We feature local produce grown in Oklahoma via a program called Farm Fresh. The first week of each month a fruit or vegetable is showcased across campus at nutrition awareness tables with free product samples creative recipes and nutritional information which create an interest in trying the food. The item is utilized in a variety of menu options across campus for the month.  3) We host an annual MIO Fair (vendors in the Made In Oklahoma program showcase their products and give samples to participants).We also feature Made in Oklahoma products monthly. This gives students a chance to meet local food vendors and sample their products. The goal is to increase awareness of the importance of buying locally produced products.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Oregon State University,614907078,16894,4,21469.8,27.75,2.42,9446.73,0.16,45.53,44.85,10.28,4.76,29.15,Mid-size city,UHDS hosts a monthly Harvest of the Month event featuring local produce in all the dining units.,NA,"
      
      
        









  
    $10 million or more
  





  
  

  

  


      
    "
Pennsylvania State University,3108100000,8703,6,49342.25,4.4,2.6,13676.69,0.29,57.37,19.31,0.48,5.48,18.32,Mid-size city,Annual PA/local meal takes place in the fall to highlight local agriculture. Signage on salad bars and buffet lines denotes when produce in meals comes from our Student Farm. The Registered Dietitian's Office curates an Instagram account posting daily stories of examples of balanced meals from the dining hall often highlighting and encouraging plant-based options.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Pitzer College,134289425,31,2,1153,25.91,7.63,22698.43,0.28,33.33,8.4,NA,2.33,NA,Urban fringe of large city,we have Meatless Mondays but everyday a low impact option is available Mondays they are all meatless,NA,NA
Portland Community College,3799341,357.76,4,16197.04,10.03,32.66,4007.34,0.1,24.26,NA,NA,0.56,NA,Large city,Meatless Monday Kickoff educates students staff and faculty about how reducing the amount of meat you eat can can be tasty and beneficial to the planet. This is a collaboration between Student Leadership (ASPCC) and Food Services.,NA,NA
Portland State University,80300000,50,4,15172.25,11.34,0.3,4916.01,0.18,48.81,28.3,4.91,1.29,32.7,Large city,FYUL Plant-fueled Monday's with a primarily plant based menu with only one station serving meat.Food-waste reduction themed screenings and networking events; catering services regularly provides sustainable seasonal local plant-based dining options with compostable dining ware world Vegan Day,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Pratt Institute Main,226518919,25,4,4807,17.56,NA,5368.4,0.27,31.41,68.89,1,NA,NA,Large city,,NA,NA
Princeton University,2.34E+10,500,6,13291.5,8.24,0,16308.32,0.39,45.27,34.6,9,7.36,NA,Small town,We host events such as Flexitarian Nights in dining halls as well as Teaching Kitchens featuring local and seasonal items Wellness Tables – both in person and via social media -- that highlight healthy and sustainable food options such as overnight oats and cauliflower pizza. At some meals students in the campus Greening Dining group have a table with fun facts and surveys related to sustainable dining.Forbes College hosted a Flexitarian Night menu at dinner on November 8 2017featuring:Rigatoni with Brussels Sprouts Lemon & LeeksKale Mushrooms & Rice Bowl with Tomato JamButternut Squash & Black Bean TacoRed Curry Thai TofuBucatini with Swiss Chard & Garlic Bread CrumbsPotato & Cauliflower MasalaChia Seed Pudding & Acai Smoothie Cups,Yes,NA
Principia College,6.28E+08,2600,5,661,11.66,45.19,40409.66,0.43,46.71,NA,NA,4.16,NA,Rural,"Vegetarian or vegan in-house catering is available. \Pollinator Dinners\"" are a popular feature of Sustainability Weekend in October. This event celebrates the importance of pollinators; each dish is labeled as to the pollinators who provided it to us (e.g. Broccoli/ Carrots/ Tomatoes: Honey Bees & Solitary Bees; Apples: Honey Bees Bumblebees Solitary Bees & Hover Flies; and so on for dozens of foods). In April Dining Services provides an all-campus vegetarian lunch for the Earth Day Fair. Dining Services boasts 100% pre- and post-consumer composting for all events and sources 100% renewable electric power.""",Yes,NA
